;¿Qué modalidad de estudios se ofrece en el posgrado en física educativa?;El posgrado en física educativa cuenta con una modalidad de estudio a distancia en línea.
;¿Cual es la formacion academica del Dra. Monica Rosalía Jaime Fonseca?;Ingeniería en alimentos en el área de concentración: Producción Unidad Profesional Interdisciplinaria de Biotecnología (UPIBI) del Instituto Politécnico Nacional (IPN). Maestría en Ciencias en Tecnología Avanzada por parte del Centro de Investigación en Ciencia Aplicada y Tecnología Avanzada Unidad Legaria del Instituto Politécnico Nacional (CICATA Legaria – IPN). Doctorado en Ciencias en Procesamiento de Alimentos, University of Birmingham, UK School of Chemical Engineering.
;¿Cuáles son las lineas de interes del Dra. Monica Rosalía Jaime Fonseca?;Desarrollo y formulación de alimentos estructurados y funcionales. Análisis de procesos de digestión y absorción en modelos in-vivo e in-vitro del tracto gastrointestinal. Ingeniería del intestino: modelos in-vitro e in-silico. Encapsulación de sustancias activas para la industria farmacéutica y de alimentos
;¿Cuáles son los proyectos de investigacion del Dra. Monica Rosalía Jaime Fonseca?;Ingeniería del intestino: Modelado in vitro e in silico de procesos de digestión y absorción in vivo. Desarrollo de materiales termoplásticos biodegradables a base de almidón y ácido poliláctico (PLA) para aplicaciones biotecnológicas. Encapsulación de fármacos en materiales mesoporosos de sílice funcionalizados con nanopartículas metálicas. Síntesis y caracterización de materiales mesoporosos de sílice para la liberación controlada de compuestos activos. Nanoencapsulación de compuestos bioactivos: estudio y evaluación de su liberación in-vitro
;¿Cuál es el contacto del Dra. Monica Rosalía Jaime Fonseca?;Teléfono de oficina: 55 57 29 60 00 ext 67777. E-mail: [minikjf04@hotmail.com]
;¿Cual es la formacion academica del Dra. Delia Quintana Zavala?;"Q.F.B. ""Escuela de Químico Fármaco Biólogo"" Morelia, Michoacán Universidad Michoacana de San Nicolás de Hidalgo. Maestría en Ciencias Química Orgánica, Departamento de Química ""Centro de Investigación y Estudios Avanzados del Instituto Politécnico Nacional"" México, D.F. Doctorado en Ciencias Química Orgánica, Departamento de Química ""Centro de Investigación y Estudios Avanzados del Instituto Politécnico Nacional"" México, D.F. Estancia ""Investigador invitado"" en el National Institute of Standard and Technology (NIST), Estados Unidos de América."
;¿Cuáles son las lineas de interes del Dra. Delia Quintana Zavala?;Síntesis Asimétrica de Compuestos Orgánicos. Química Analítica Orgánica. Metrología Química. Investigación de Procesos Químicos. Síntesis de compuestos orgánicas con potencial actividad biológica
;¿Cuáles son los proyectos de investigacion del Dra. Delia Quintana Zavala?;Materiales Luminiscentes Orgánicos. Sintesis y Caracterización de Enaminonas derivadas de la Acetil Acetona con potencial Actividad Biológica. Síntesis y Caracterización de Aductos Diels-Alder Análogos del Ácido glutámico, con potencial Actividad Biológica. Síntesis y Caracterización de Mono-B-lactamas como precursors de B-aminoácidos.
;¿Cuál es el contacto del Dra. Delia Quintana Zavala?;Teléfono de oficina: 55 57 29 60 00 ext 67786 y 67759. E-mail: deliaqz1@hotmail.com
;¿La insitución ofrece algún tipo de beca a sus estudiantes?;Actualmente la institución ofrece tres tipos de becas a sus estudiiantes. La beca Estudio de Posgrado,  la beca Tesis de Posgrado, la beca Transición de Posgrado.
;¿Quíen es el encargado de tramitar las becas intitucionales?;Lic. Arnoldo Macías Tapia. E-mail: amaciast@ipn.mx
;¿En caso de contar una beca institucional, qué puedo hacer si me otorgan otra beca correspondiente a recursos fiscales federales de mayor monto?;En el caso de que le sea otorgada otra beca correspondiente a recursos fiscales federales de mayor monto, usted deberá reembolsar de inmediato el monto de Beca recibido, en su totalidad, conforme se le indicará en su momento.
;¿Puedo realizar actividades laborales y a su vez contar con el apoyo de una beca institucional?;No. Todo beneficiario que realice actividades laborales durante la vigencia de la beca será dado de baja del programa de becas y será sujeto de responsabilidad.
;¿En qué consiste la beca Estudio de Posgrado?;Es el apoyo económico que se otorga a los alumnos inscritos en un programa de posgrado que no está registrado en el Programa Nacional de Posgrados de Calidad (PNPC) del Consejo Nacional de Ciencia y Tecnología.
;¿Qué requisitos se deben cumplir para ser elegible para la beca Estudio de Posgrado?;Puede consultar los requisitos que se deben cumplir para ser elegible para la beca Estudio de Posgrado a través de la siguiente liga:  https://www.ipn.mx/assets/files/posgrado/docs/dopp/beca-posgrado-23-24.pdf.
;¿Cuál es el monto de la  beca Estudio de Posgrado?;El monto para los estudiantes de maestría es de $9,000.00 pesos mexicanos mensuales y para los estudiantes de doctorado es de $13,000.00 pesos mexicanos mensuales.
;¿Puedo optar por la beca Estudio de Posgrado si actualmente cuento con otro apoyo correspondiente a recursos fiscales federales?;No. Para ser elegible para la beca Estudio de Posgrado usted no debe contar con, ni haber recibido, una beca equivalente o similar otorgada con recursos fiscales federales para el mismo programa o nivel de estudios, tales como Becas Nacionales para Estudios de Posgrado CONAHCyT u otros
;¿En qué consiste la beca Tesis de Posgrado?;La beca tesis de maestría sólo es para alumnos inscritos en quinto semestre y la beca tesis de doctorado sólo es para alumnos inscritos en el semestre inmediato posterior al último semestre del respectivo plan curricular publicado en su acuerdo de creación.
;¿Qué requisitos se deben cumplir para ser elegible para la beca Tesis de Posgrado?;Puede consultar los requisitos que se deben cumplir para ser elegible para la beca Estudio de Posgrado a través de la siguiente liga:  https://www.ipn.mx/assets/files/posgrado/docs/dopp/beca-posgrado-23-24.pdf.
;¿En qué consiste la beca Transición de Posgrado?;Es el apoyo económico a los alumnos de nuevo ingreso, por tener que cambiar de residencia hacia la ciudad sede del programa recorriendo un trayecto mayor a 300 kilómetros desde su ciudad de origen, inscritos en programas de posgrado de maestría o doctorado, en modalidad escolarizada que requieran un apoyo económico por tener que cambiar de residencia hacia la ciudad cede del programa.
;¿Qué requisitos se deben cumplir para ser elegible para la beca Transición de Posgrado?;Puede consultar los requisitos que se deben cumplir para ser elegible para la beca Estudio de Posgrado a través de la siguiente liga: https://www.ipn.mx/assets/files/posgrado/docs/dopp/beca-transicion-b23.pdf
;¿Cuál es el monto de la  beca Transición de Posgrado?;Pago único de $25,000.00 pesos mexicanos 
;¿La beca de transición es compatible con las becas Institucional de Estudio,CONAHCyT y con la BEIFI?;Si. Las becas Institucional de Estudio,CONAHCyT y con la BEIFI son compatibles con la beca institucional de posgrado
;¿Cuál es el objetico de la beca BEIFI?;El Programa Institucional de Formación de Investigadores (PIFI) fue establecido en el año 1985, tiene por objeto propiciar una relación académica más directa entre el docente y el alumno, así como apoyar con recursos humanos en la realización de actividades de investigación. Cabe destacar que este programa forma parte del Modelo Educativo Institucional y el Modelo de Integración Social, siendo así, un mecanismo idóneo para que los estudiantes del IPN desarrollen habilidades y competencias que les permitan iniciar o consolidar su formación como investigadores.
;¿Cuál es la población objetivo de la beca BEIFI?;Alumnas o alumnos inscritas o inscritos en el nivel medio superior, superior o posgrado del IPN que participan en proyectos de investigación institucionales aprobados por conducto de la Secretaría de Investigación y Posgrado.
;¿Cuál es la población fin de la beca BEIFI?;Fortalecer la formación y desempeño en el desarrollo de actividades de investigación científica y desarrollo tecnológico de los alumnos del IPN que participan en proyectos de investigación institucionales, aprobados por la Secretaría de Investigación y Posgrado.
;¿Cuál es el monto de la beca BEIFI?;1400 pesos mexicanos mensuales a cobrar en un pago único de 7000 pesos
;¿Cuál es la documentación necesaria para aplicar a la beca BEIFI?;Formato BEIFI 01. Formato BEIFI 02. CURP. Constancia de inscripción. Constancia de promedio global. En caso de ser de primer ingreso, presentar el certifica- do de estudios del tipo educativo inmediato anterior. Cuenta CLABE para transferencia de la beca.
;¿Sí ya terminé los créditos de mi programa académico y estoy en proceso de titulación puedo recibir la BEIFI?;Es indispensable estar inscrito(a) en alguno de los programas académicos del IPN, en la modalidad escolarizada, al inicio del ciclo escolar.
;;
